"550014","PCP-TM_n","Wellness Park Residences","0594CP5501","บริษัท กิจสุรางค์วิศวกรรม (2522) จำกัด",0,""
"550015","PCP-TM_n","โชว์รูม มาสด้า พระราม 7","0595CP5501","บริษัท ไชยโย คอนส์ แอนด์ ดีเวลลอปเม้นท์ จำกัด",0,""
"550016","PCP-TM_n","ENDO LIGHTING","0423CP6001","บริษัท เนาวรัตน์พัฒนาการ จำกัด (มหาชน)",0,""
"550017","PCP-TM_n","AGI (PHASE 4)","0039CP5501","บริษัท ช.การช่าง-โตกิว คอนสตรัคชั่น จำกัด",0,""
"550018","PCP-TM_n","NISSAN","0585CP5401","บริษัท ไทย นากาโน จำกัด",0,""
"550019","PCP-TM_n","โกดังใหม่วังน้อย","0299CP5501","บริษัท สหไทย สตีลไพพน์ จำกัด (มหาชน)",0,""
"550020","PCP-TM_n","คลังสินค้า C บริษัท ไพโอเนียร์ จำกัด","0298CP6001","บริษัท ภามภากร จำกัด",0,""
"550021","PCP-TM_n","จิ้นเซ่งฮวด อะไหล่ยนต์","0298CP6001","บริษัท ภามภากร จำกัด",0,""
"550022","PCP-TM_n","DHL พระราม 9","0235CP5801","บริษัท เอฟ ซี ไอ อินเตอร์เนชั่นแนล จำกัด",0,""
"550023","PCP-TM_n","NISSIN","0585CP5401","บริษัท ไทย นากาโน จำกัด",0,""
"550024","PCP-TM_n","ฮาบิทาวน์ ติวานนท์","0626CP5501","บริษัท ปภานัน จำกัด",0,""
"550025","PCP-TM_n","โรงาน บริษัท ฟูจิซา (ประเทศไทย)","0636CP5501","บริษัท ฟูจิซา (ประเทศไทย) จำกัด",0,""
"550026","PCP-TM_n","โรงงานกระทุ่มแบน","0101CP5601","ห้างหุ้นส่วนจำกัด บี แอนด์ บี เอ็นจิเนียริ่ง อิควิปเมนท์",0,""
"560001","PCP-TM_n","เศรษฐสิริ ราชพฤกษ์ - จรัญสนิทวงศ์ 37","0207CP5601","บริษัท แสนสิริ จำกัด (มหาชน)",0,""
"560002","PCP-TM_n","โรงงานแพรกษา","0101CP5601","ห้างหุ้นส่วนจำกัด บี แอนด์ บี เอ็นจิเนียริ่ง อิควิปเมนท์",0,""
"560003","PW-TM_n","SILK PLACE หลักสี่","0001PW5601","บริษัท 17 เจตต์ คอนสตรัคชั่น จำกัด",0,""
"560004","PCP-TM_n","กิจพูนชัย","0235CP5801","บริษัท เอฟ ซี ไอ อินเตอร์เนชั่นแนล จำกัด",0,""
"560005","PCP-TM_n","BIP1&2 COMBINED CYCLE CONGENERATION","0078CP5601","บริษัท ไทยจูรองเอ็นจิเนียริ่ง จำกัด",0,""
"560006","PCP-TM_n","Metro West Town","0597CP5601","บริษัท วีรีเทล จำกัด (มหาชน)",0,""
"560007","PCP-TM_n","UHV Project for IRPC","0598CP5601","เอสเค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น คัมปะนี ลิมิเต็ด",0,""
"560008","PCP-TM_n","BOAT HOUSE","0599CP5601","บริษัท เพนต้า ดีเวลลอปเม้นท์ จำกัด",0,""
